"Показник","Територіальний розріз","Тип будівлі","Тип місцевості","Періодичність","Одиниця виміру","Масштабування","Кількість десяткових знаків","Спеціальне значення даних","Примітки набору даних","Примітки часового ряду","Примітки спостереження","2018-Q1","2018-Q2","2018-Q3","2018-Q4","2019-Q1","2019-Q2","2019-Q3","2019-Q4","2020-Q1","2020-Q2","2020-Q3","2020-Q4","2021-Q1","2021-Q2","2021-Q3","2021-Q4","2022-Q1","2022-Q2","2022-Q3","2022-Q4","2023-Q1","2023-Q2","2023-Q3","2023-Q4","2024-Q1","2024-Q2","2024-Q3","2024-Q4","2025-Q1","2025-Q2","2025-Q3"
"Загальна площа житлових будівель, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення","Україна","Житлові будинки","Загалом","Квартальна","Квадратний метр","Одиниці","Один","Явищ не було","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. З урахуванням прийнятих в експлуатацію житлових будинків відповідно до встановленого Порядку (наказ Мінрегіону від 03.07.2018 № 158 (зі змінами)); з 01.01.2024 з урахуванням дач та садових будинків. 3. Показники наведено наростаючим підсумком.","","43.8","77.1","123.6","206.4","58.3","116.7","183.9","263.5","45.7","88.5","140.6","203.3","55.5","115.4","210.5","277.5","31","58.7","117.1","172.5","47.1","87.2","132.3","179.1","52.9","110.8","163.4","","","",""
"Загальна площа житлових будівель, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення","Україна","Житлові будинки","Сільська","Квартальна","Квадратний метр","Одиниці","Один","Явищ не було","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. З урахуванням прийнятих в експлуатацію житлових будинків відповідно до встановленого Порядку (наказ Мінрегіону від 03.07.2018 № 158 (зі змінами)); з 01.01.2024 з урахуванням дач та садових будинків. 3. Показники наведено наростаючим підсумком.","","48.5","90.8","146.1","233.2","81.4","155.4","226","327.4","63","112.3","180.2","258.7","54.6","118.6","198.7","276.8","37.1","64","133.8","186.8","74","124.2","173.8","245.9","80.2","170","255.8","","","",""
"Загальна площа житлових будівель, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення","Україна","Житлові будинки","Міська","Квартальна","Квадратний метр","Одиниці","Один","Явищ не було","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. З урахуванням прийнятих в експлуатацію житлових будинків відповідно до встановленого Порядку (наказ Мінрегіону від 03.07.2018 № 158 (зі змінами)); з 01.01.2024 з урахуванням дач та садових будинків. 3. Показники наведено наростаючим підсумком.","","41.7","70.9","113.5","194.4","47.9","99.3","165.1","235","38","77.9","123","178.7","55.8","114","215.8","277.7","28.3","56.4","109.7","166.2","35.3","70.9","114","149.6","40.8","84.7","122.6","","","",""
