"Показник","Територіальний розріз","Тип будівлі","Тип місцевості","Періодичність","Одиниця виміру","Масштабування","Кількість десяткових знаків","Спеціальне значення даних","Примітки набору даних","Примітки часового ряду","Примітки спостереження","2018-Q1","2018-Q2","2018-Q3","2018-Q4","2019-Q1","2019-Q2","2019-Q3","2019-Q4","2020-Q1","2020-Q2","2020-Q3","2020-Q4","2021-Q1","2021-Q2","2021-Q3","2021-Q4","2022-Q1","2022-Q2","2022-Q3","2022-Q4","2023-Q1","2023-Q2","2023-Q3","2023-Q4","2024-Q1","2024-Q2","2024-Q3","2024-Q4","2025-Q1","2025-Q2","2025-Q3","2025-Q4"
"Житлова площа квартир у житлових будинках, прийнятих в експлуатацію","Україна","Житлові будинки з двома та більше квартирами","Загалом","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","","","","","2452462","411516","853209","1392083","1932098","668863","1377429","2709105","3338646","309949","649866","1367147","1980566","","","","1824638","","","1398506","2183889","502136","855617","1321630","1980257"
"Житлова площа квартир у житлових будинках, прийнятих в експлуатацію","Україна","Одноквартирні житлові будинки","Загалом","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. З урахуванням прийнятих в експлуатацію житлових будинків відповідно до встановленого Порядку (наказ Мінрегіону від 03.07.2018 № 158 (зі змінами)); з 01.01.2024 з урахуванням дач та садових будинків. 3. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","","","","","2674895","475998","861929","1347368","1953745","455271","920802","1371897","1970199","273447","507722","904647","1259020","","","","1564894","","1105976","1713218","2334537","534366","1081808","1622670","2315650"
"Житлова площа квартир у житлових будинках, прийнятих в експлуатацію","Україна","Житлові будинки без житлових будинків для колективного проживання","Міська","Квартальна","Квадратний метр","Одиниці","Нуль","Явищ не було","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. З урахуванням прийнятих в експлуатацію житлових будинків відповідно до встановленого Порядку (наказ Мінрегіону від 03.07.2018 № 158 (зі змінами)); з 01.01.2024 з урахуванням дач та садових будинків. 3. Показники наведено наростаючим підсумком.","","578154","970127","1546195","2654102","636584","1345998","2226601","3161508","503572","1033234","1660956","2359899","","1586385","2883162","3672905","360737","778985","1496318","2171314","","","","1978936","","","1605004","","","","",""
"Житлова площа квартир у житлових будинках, прийнятих в експлуатацію","Україна","Житлові будинки без житлових будинків для колективного проживання","Загалом","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. З урахуванням прийнятих в експлуатацію житлових будинків відповідно до встановленого Порядку (наказ Мінрегіону від 03.07.2018 № 158 (зі змінами)); з 01.01.2024 з урахуванням дач та садових будинків. 3. Показники наведено наростаючим підсумком.","","876116","1523985","2436786","4062604","1135242","2293419","3598743","5127357","887514","1715138","2739451","3885843","1124134","2298231","4081002","5308845","583396","1157588","2271794","3239586","","","","3389532","","","3111724","4518426","1036502","1937425","2944300","4295907"
"Житлова площа квартир у житлових будинках, прийнятих в експлуатацію","Україна","Житлові будинки без житлових будинків для колективного проживання","Сільська","Квартальна","Квадратний метр","Одиниці","Нуль","Явищ не було","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. З урахуванням прийнятих в експлуатацію житлових будинків відповідно до встановленого Порядку (наказ Мінрегіону від 03.07.2018 № 158 (зі змінами)); з 01.01.2024 з урахуванням дач та садових будинків. 3. Показники наведено наростаючим підсумком.","","297962","553858","890591","1408502","498658","947421","1372142","1965849","383942","681904","1078495","1525944","","711846","1197840","1635940","222659","378603","775476","1068272","","","","1410596","","","1506720","","","","",""
