"Показник","Територіальний розріз","Тип будівлі","Періодичність","Одиниця виміру","Масштабування","Кількість десяткових знаків","Спеціальне значення даних","Примітки набору даних","Примітки часового ряду","Примітки спостереження","2018-Q1","2018-Q2","2018-Q3","2018-Q4","2019-Q1","2019-Q2","2019-Q3","2019-Q4","2020-Q1","2020-Q2","2020-Q3","2020-Q4","2021-Q1","2021-Q2","2021-Q3","2021-Q4","2022-Q1","2022-Q2","2022-Q3","2022-Q4","2023-Q1","2023-Q2","2023-Q3","2023-Q4","2024-Q1","2024-Q2","2024-Q3","2024-Q4","2025-Q1","2025-Q2","2025-Q3","2025-Q4"
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Вінницька","Житлові будинки з двома та більше квартирами","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","327052","10690","93886","","153373","19228","38029","67555","110762","25125","82382","141057","214744","","35585","103851","129969","","92267","145893","230614","","","","","","130985","167154","179491"
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Автономна Республіка Крим","Будівлі оптово-роздрібної торгівлі","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Волинська","Житлові будинки з двома та більше квартирами","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","165102","","131773","174580","203506","","17900","62052","85843","42194","59136","","178164","","109461","420869","422577","","26818","97069","100466","53736","","122614","127646","33556","101814","160550","179308"
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Вінницька","Будівлі громадського дозвілля, освіти, охорони здоров'я та соціального захисту","Квартальна","Квадратний метр","Одиниці","Нуль","Явищ не було","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","19307","2621","","","18008","","","","","","2401","6185","11679","","","","","","","1841","10195","","2475","3054","6400","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Житомирська","Інші нежитлові будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","10896","","14413","25710","28658","","","933","4751","11662","14935","22207","24451","","","4293","4473","","10283","15323","26110","","14187","25794","27501","","6261","10678",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Волинська","Одноквартирні житлові будинки","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Без урахування даних щодо житлових будинків та нежитлових будівель, показники за якими відсутні у Повідомленні про початок виконання будівельних робіт (Постанова КМУ від 13.04.2011 №466 (із змінами)); з 01.01.2024 року з урахуванням дач та садових будинків у житлових будинках. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","6302","","","","1050","183","3817","4182","4182","","","","","","","","","","","","","","","18117","36627","6449","13477","15834","16572"
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Автономна Республіка Крим","Офісні будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Вінницька","Інші нежитлові будівлі","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","356339","199259","222672","320375","328000","","14010","26887","35083","1070","32185","60128","90938","","","4435","9337","","","74080","91759","2639","9594","16503","17059","7261","12242","35678",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Житомирська","Житлові будинки для колективного проживання","Квартальна","Квадратний метр","Одиниці","Нуль","Явищ не було","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Загальна площа житлових будинків і нежитлових будівель на початок будівництва","Волинська","Будівлі громадського дозвілля, освіти, охорони здоров'я та соціального захисту","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","12361","1776","1776","3659","14392","","3835","4281","4479","890","2936","2936","7848","","","","","","","2563","","","","","","","","",""
