"Показник","Територіальний розріз","Тип будівлі","Тип місцевості","Періодичність","Одиниця виміру","Масштабування","Кількість десяткових знаків","Спеціальне значення даних","Примітки набору даних","Примітки часового ряду","Примітки спостереження","2018-Q1","2018-Q2","2018-Q3","2018-Q4","2019-Q1","2019-Q2","2019-Q3","2019-Q4","2020-Q1","2020-Q2","2020-Q3","2020-Q4","2021-Q1","2021-Q2","2021-Q3","2021-Q4","2022-Q1","2022-Q2","2022-Q3","2022-Q4","2023-Q1","2023-Q2","2023-Q3","2023-Q4","2024-Q1","2024-Q2","2024-Q3","2024-Q4","2025-Q1","2025-Q2","2025-Q3","2025-Q4"
"Загальна площа житлових будинків, прийнятих в експлуатацію","Україна","Житлові будинки","Загалом","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. З урахуванням прийнятих в експлуатацію житлових будинків відповідно до встановленого Порядку (наказ Мінрегіону від 03.07.2018 № 158 (зі змінами)); з 01.01.2024 з урахуванням дач та садових будинків. 3. Показники наведено наростаючим підсумком.","","1854172","3261464","5231002","8689356","2453757","4911213","7743416","11029327","1913936","3703942","5886190","8451221","2306431","4797229","8752939","11433790","1276285","2420191","4825286","7110224","1941932","3593118","5451745","7380752","2178659","4566640","6732949","9758881","2292176","4272577","6516802","9552933"
"Загальна площа житлових будинків, прийнятих в експлуатацію","Україна","Житлові будинки","Сільська","Квартальна","Квадратний метр","Одиниці","Нуль","Явищ не було","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. З урахуванням прийнятих в експлуатацію житлових будинків відповідно до встановленого Порядку (наказ Мінрегіону від 03.07.2018 № 158 (зі змінами)); з 01.01.2024 з урахуванням дач та садових будинків. 3. Показники наведено наростаючим підсумком.","","636116","1191372","1917695","3036942","1060012","2024145","2944216","4222706","812703","1448347","2324708","3301964","697607","1514175","2536093","3493459","468454","808132","1688606","2357822","933850","1567506","2193324","3103807","1012388","2145404","3228132","","","","",""
"Загальна площа житлових будинків, прийнятих в експлуатацію","Україна","Одноквартирні житлові будинки","Загалом","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. З урахуванням прийнятих в експлуатацію житлових будинків відповідно до встановленого Порядку (наказ Мінрегіону від 03.07.2018 № 158 (зі змінами)); з 01.01.2024 з урахуванням дач та садових будинків. 3. Показники наведено наростаючим підсумком.","","878109","1686634","2626678","4247660","1513047","2848673","4185471","5847163","1046691","1896927","2948026","4271823","991678","2005695","3016380","3493459","598627","1120004","2001092","2783504","","","","3482538","","2336703","3636210","4974545","1154323","2344602","3529722","5034164"
"Загальна площа житлових будинків, прийнятих в експлуатацію","Україна","Житлові будинки з двома та більше квартирами","Загалом","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Показники наведено наростаючим підсумком.","","976063","1572291","2601373","4434586","940710","2060836","3554023","5176389","864322","1803598","2933452","4172313","1305061","2770878","5714736","7051835","675778","1298307","2817993","4320519","","","","3886163","","","3095198","4782577","1134756","1922158","2979020","4501000"
"Загальна площа житлових будинків, прийнятих в експлуатацію","Україна","Житлові будинки","Міська","Квартальна","Квадратний метр","Одиниці","Нуль","Явищ не було","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. З урахуванням прийнятих в експлуатацію житлових будинків відповідно до встановленого Порядку (наказ Мінрегіону від 03.07.2018 № 158 (зі змінами)); з 01.01.2024 з урахуванням дач та садових будинків. 3. Показники наведено наростаючим підсумком.","","1218056","2070092","3313307","5652414","1393745","2887068","4799200","6806621","1101233","2255595","3561482","5149257","1608824","3283054","6216846","7940331","807831","1612059","3136680","4752402","1008082","2025612","3258421","4276945","1166271","2421236","3504817","","","","",""
"Загальна площа житлових будинків, прийнятих в експлуатацію","Україна","Житлові будинки для колективного проживання","Загалом","Квартальна","Квадратний метр","Одиниці","Нуль","Конфіденційна статистична інформація","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Показники наведено наростаючим підсумком.","","","2539","2951","7110","","1704","3922","5775","2923","3417","4712","7085","9692","20656","21823","30391","1880","1880","6201","6201","","","","12051","","","1541","1759","3097","5817","8060","17769"
"Загальна площа житлових будинків, прийнятих в експлуатацію","Україна","Житлові будинки без житлових будинків для колективного проживання","Загалом","Квартальна","Квадратний метр","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. З урахуванням прийнятих в експлуатацію житлових будинків відповідно до встановленого Порядку (наказ Мінрегіону від 03.07.2018 № 158 (зі змінами)); з 01.01.2024 з урахуванням дач та садових будинків. 3. Показники наведено наростаючим підсумком.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9535164"
