"Показник","Територіальний розріз","Тип будівлі","Періодичність","Одиниця виміру","Масштабування","Кількість десяткових знаків","Спеціальне значення даних","Примітки набору даних","Примітки часового ряду","Примітки спостереження","2018-Q1","2018-Q2","2018-Q3","2018-Q4","2019-Q1","2019-Q2","2019-Q3","2019-Q4","2020-Q1","2020-Q2","2020-Q3","2020-Q4","2021-Q1","2021-Q2","2021-Q3","2021-Q4","2022-Q1","2022-Q2","2022-Q3","2022-Q4","2023-Q1","2023-Q2","2023-Q3","2023-Q4","2024-Q1","2024-Q2","2024-Q3","2024-Q4","2025-Q1","2025-Q2","2025-Q3","2025-Q4"
"Кількість квартир у житлових будинках на початок будівництва","Україна","Житлові будинки з двома та більше квартирами","Квартальна","Одиниця","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","136213","29932","62448","136526","163492","11932","42553","64699","89583","19430","52319","124524","144164","17227","32875","68197","85068","14288","25081","35256","46225","9884","21793","30941","40940","16253","33012","47684","62748"
"Кількість квартир у житлових будинках на початок будівництва","Україна","Одноквартирні житлові будинки","Квартальна","Одиниця","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. З 01.01.2024 року з урахуванням дач та садових будинків. 3. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","30778","5095","12019","18769","25472","4628","9382","15806","22526","5146","11535","18782","26590","3611","6122","9887","13318","3409","8390","14821","20606","6809","14451","21722","28354","6445","15969","25776","34330"
"Кількість квартир у житлових будинках на початок будівництва","Україна","Житлові будинки без житлових будинків для колективного проживання","Квартальна","Одиниця","Одиниці","Нуль","","З 01.01.2024 року назви щодо типів будівель наведено відповідно до Національного класифікатора будівель і споруд (наказ Мінекономіки України від 16.05.2023 № 3573), до 01.01.2024 року - Номенклатури продукції будівництва (наказ Держстату України від 29.12.2017 № 356 (із змінами)). З 2025 року дані за показниками у розрізі типів місцевості (сільська, міська) та щодо загальної площі житлових будинків, прийнятих в експлуатацію, у розрахунку на 1 тис. осіб населення не формуються. З 2026 року за показниками змінено розріз за видами будівель.","1. Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії. 2. З 01.01.2024 року з урахуванням дач та садових будинків. 3. Показники наведено наростаючим підсумком.","Відомості відсутні.","","","","166991","35027","74467","155295","188964","16560","51935","80505","112109","24576","63854","143306","170754","20838","38997","78084","98386","17697","33471","50077","66831","16693","36244","52663","69294","22698","48981","73460","97078"
